Organization,Labels,Title,Description,Source,Additional Metadata
ICAR," Sub Title:Ensuring Uninterrupted Production and Supply Chain
 Category:Agricultural Guidelines
 Sub category:Crop Management and Pest Control Advisories
 Information About:Paddy , Maize, Rice, Vegetables , Chilles , Sessame, Citrus Fruits
 State: Andhra Pradesh","Guidelines for Continued Agricultural
 Activities in Andhra Pradesh","> Guidelines:
 > Guidelines issued in support of continuation of production, processing and supply chain and transportation of seed,
 fertilizer and pesticides in the State of Andhra Pradesh.
 > Harvesting, post harvesting, shipment of raw seeds and packing activities of all seed crops which Arunais in peak
 across the State to continue with respect to Hybrid Maize, Sorghum, Forage Crops, Pearl Millet, Cotton, Pulses, Rice,
 Groundnut, Vegetable Seeds etc
 > Transport of seeds from farmers' fields to processing plants of seed companies permitted after due inspection based
 on accompanying supporting documents
 > Fertilizer & Pesticides dealer shops shall remain open and continue functioning. The farmers to maintain 3 feet distance
 while purchasing the inputs
 > Advisory
 > Paddy is in grain filling to grain hardening stage. Incidence of neck blast, stem borer and panicle mite is observed.
 Prevailing high relative humidity conditions are congenial for further spread of the neck blast disease and hence foliar
 spray of Tricyclazole @ 0.6 g or Isoprothiolane @ 1.5 ml or Kasugamycin @ 2.5 ml per litre of water is advised.
 > Precautions and safety measures of workers engaged in repair, maintenance and harvesting operation with combiners
 is to be ensured at the time of paddy harvesting
 > Rice fallow black gram is at flowering to harvesting stage, summer green gram crop is at vegetative stage. Measures to
 manage whitefly incidence to be taken up to control yellow mosaic virus disease incidence
 > Maize is at flowering to harvesting stage and incidence of fall army worm is noticed which is to be managed with
 recommended insecticidal sprays or baiting. Care to be exercised while operating threshers after harvesting of cobs.
 > Sesame is at capsule formation stage, foliar nutrient spray with soluble fertilizer (19:19:19) or multi K @ 2.5 kg/ha. Chillies crop is at third to fourth picking stage, incidence of thrips and mites is noticed and safety precautions to be followed in use of spraying equipment by contract workers/ farmers.
 > Fruit drop is likely in Mango, nutrient spray with 1% urea or Planofix @ 1 ml per 4.5 liters of water is advised. Care to be exercised by workers while mixing of inputs and application.
 > Root rot disease incidence in citrus and oranges is noticed and safety precautions to be taken in applying foliar sprays and application of manures and organic ammendments at base of trees.
 > Spiralling whitefly is a major problem faced by coconut, oil palm and guava farmers. Recommended control measures as advised by KVKs/ SAUs to be followed. Chemical sprays to be avoided against this pest.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title: Implementing Government of India Directives in Agricultural Practices
 Category: Farming Practices and Safety Measures
 Sub category: Crop Cultivation and Storage Techniques
 Information About: Rice, Maize, Potato,Bitter Guard , Cauliflower, Cabbage,Beans,Cucurbits
 State: Arunachal Pradesh","Agricultural Guidelines and Advisory
 for Safe Operations","> Guidelines and Advisory: 
 > The guidelines of GoI are followed in the state. Safety measures and social distancing to followed in all agricultural operations.
 > In Jhum farming, its right time for the sowing of rice and maize by engaging family labour
 > In maize, deep ploughing and adoption of intercropping with black gram / green gram is advised and installation of pheromone trap @ 5/acre immediately after germination is advised for management of fall army worm
 > Store potato in cool, ventilated bamboo structures with no windows on 3 to 4 inch layer of dry sand. Additional storage can be created in kitchens with false ceiling made of bamboo.
 > Foliar sprays in vegetable crops such as bhendi and bitter gourd to be taken up against leaf spots and fusarium wilt. Hand glove and mask should always be worn during the spraying of fungicides and insecticides in the field and equipment should be washed properly before and after use.
 > Among the vegetable crops, Cauliflower, Cabbage, beans and other cucurbits, green coriander, spinach etc. are in harvesting/picking stage and suppling to market with the help of FPO/FPC and SHGs as per the demands.
 > Agricultural operations should be done with machine driven equipment as much as possible. Sanitize the equipment with soap water at least 3 times a day, when handmade cutting equipment is used.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title:Implementing Government of India Directives in Agricultural Practices
 Category:Farming Practices and Safety Measures
 Sub Category:Crop Cultivation and Storage Techniques
 Information About:Lentils, Linseed, Mustard , Tomato,
 State:Assam","Agricultural Guidelines and Advisory
 for Safe Operations"," > Guidelines and Advisory: 
 > The guidelines of GoI are followed in the state. Safety measures and social distancing to followed in all agricultural operations.
 > As the harvesting of different field crops, vegetables, fruits etc. are on-going, farmers' are advised to follow safety measures in farm operations
 > Harvesting of field crops like lentil, linseed, mustard is due and after harvest, proper drying is essential for good storage.
 > Proper sanitation is required while using shared/ hired implements or machineries for harvesting operation. Harvesting is to be done by maintaining proper isolatio distance of personnel engaged.
 > Shelf life of harvested tomato can be extended by adopting traditional method in case of delay in marketing.
 > As the cold storage service is exempted from lock down, potato, tomato and chillies may be stored in nearest cold storage after obtaining passes with all safety restrictions.
 > Prefer farm level storage wherever possible for better price rather than to avoid rushing to markets immediately after harvesting to sell at prevailing lower prices if any
 > FPOs may also initiate selling of farmers produce after obtaining proper permission from the district administration
 > Retail shops dealing with fertilizer/seeds are allowed to operate during lockdown for limited time window. Social distancing of at least 1 m is to be maintained while purchasing seeds and fertilizers.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title:Ensuring Productivity and Health Amidst Pandemic
 Category:Farming Operations and Health Measures
 Sub Category: Farming Operations and Health Measures
 Information About: Seed, Fertilizer, Pesticides
 State:Bihar","Agricultural Guidelines and Advisory
 for Safe Farming Practices"," > Guidelines
 > All shops of seed/ fertilizer/ pesticides will remain open. Farmers can meet their input needs and while purchasing to avoid crowding and to follow social distancing.
 >  Farmers are allowed free movement for farm activities like harvesting and threshing by maintaining social distancing
 > As much as possible use farm machinery for operations.> During field operations by labour, food and water to be consumed separately. Don't share with each other.
 > Wash hand with soap and water repeatedly. Drink plenty of water during farm operations.
 > Use mask to cover mouth and nose. Clothes must be washed after harvesting and threshing.
 > Avoid touching eyes, nose and mouth frequently to avoid contamination.
 > Burning of crop residue in the field to be avoided completely
 > Appraise and consult Agriculture Advisor or Agriculture Coordinator for any emerging problem in farm related activities.
 > Advisory
 > Lentil is at harvesting stage while gram and wheat will take will take another 20-25 days to mature. Harvesting should be at proper maturity. No need to irrigate the field as there was good rain in recent past.
 > Summer ploughing in the vacant field after harvesting of Lentil is essential.
 > In Vegetables like tomato, brinjal, chillies etc. apply hoeing and irrigation as per requirement. Also apply required amount of nitrogen.
 > Leafy vegetables like palak, chaulai, bathua etc. can be sown for summer season.
 > Mealy bug in mango and litchi can be controlled by spraying Imidacloprid 17.8%SL @ 1 ml/ 3 lit water.
 > Mite in litchi can be controlled by using Ethion 50 EC @ 2 ml/ lit water.
 > Powdery mildew in mango can be managed by applying recommended fungicide",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title:Promoting Productivity and Safety Measures in Farming Operations
 Category:Agricultural Management and Health Guidelines
 Sub Category: Labor Management, Crop  Harvesting, and Livestock Care
 Information About:mango, citrus and other fruit
 State:Chhattisgarh","Comprehensive Agricultural Advisory for
 Enhanced Farm Management"," > Advisory
 > State government permitted minimum labour for work in agriculture and horticulture farm with proper sanitation measures and directions as issued by CG Govt.
 > harvesting and input availability etc.
 > Ensure availability of water, soap and mask during field operations
 > Use of separate water bottle during cutting of crops and other agricultural operations.
 > Advisory issued to farmers for plucking fruits and vegetable in their farms and transport to market without any restrictions
 > Wear disposable rubber boots, gloves and triple layer mask during cutting and threshing of crops advised.
 > If seed production is being taken then pick, roguing to be adopted to remove off type plants and thresh separately for maintenance of seed purity.
 > Keep the storage place ready before crop harvest which should be protected and safe.
 > Avoid crop residue burning after harvest. In harvested field, spray waste decomposer and plough the field and repeat the spray at 8 - 10 days after ploughing for proper in situ decomposition.
 > Farmers are advised for summer deep ploughing of the field.
 > Manage irrigation in mango, citrus and other fruit crops
 > In tomato, brinjal, chillies, bhendi, and other vegetables, apply hoeing and irrigation as needed and give the required amount of nitrogen fertilizer.
 > Summer green gram is at maturity stage and ready for harvest.
 > Seed of leafy vegetables like Amaranthus, ipomoea aquatica, Chaulai and Bathua, spinach should be sown for summer season.
 > Leafy coriander should be sown during the first week of April using paddy straw mulch to minimize the evaporation rate in summer.
 > Cowpea, Okra and cucurbits like Ridge gourd, Sponge gourd, Cucumber, pumpkin, Bottle gourd and Bitter gourd
 should be sown in nursery for seedling purpose.
 > Colocasia leaf blight is noticed in farmer's field and disease management with fungicide is recommended
 > Onion is at maturity stage, hence crop should not be irrigated.
 > Temperature is favourable for whitefly attack in okra and papaya, hence use yellow sticky trap & apply recommended
 foliar spray of insecticide
 > Make proper arrangements for housing, nutrition and health management for young animals during summer time.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title:Precautions and Guidelines for Harvesting and Post-Harvest Management
 Category:Agricultural Safety Advisory
 Sub Category: Harvest Season Safety Measures
 Information About:wheat, mustard, gram and vegetable crops
 State:Haryana","Safety Advisory for Agricultural Operations
 During Harvest Season"," > Advisory:
 > Simple safety measures and precautions while performing farm operations have been issued to farmers with respect to harvesting, threshing, storage and marketing of major crops cultivated in the state: wheat, mustard, gram and vegetable crops
 > Wheat in large area will be ready for harvest after 14th April for harvesting through combines. Due of untimely rain during March, the harvesting of wheat is delayed and wheat harvesting will start after 5th April and peak will be between 15 to 30th April. In case wheat harvesting is delayed due to the scarcity of combines or otherwise, wheat crop at maturity becomes prone to fire and therefore adequate care should be taken on this count.
 > About 70% of barley harvesting is over mainly in south-west Haryana and remaining shortly.
 > Mustard is the second important rabi crop which largely has been manually harvested but threshing is due in most of the cases.
 > Harvesting of Gram and lentil is delayed due to rains and is approaching in first fortnight of April.
 > Among the vegetable crops, tomato, cauliflower, cucumber and other cucurbits, green coriander, spinach etc. are in harvesting/picking stage and supplied to market.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title:Ensuring Safe Practices and Effective Farm Management
 Category: Agricultural Safety and Operations
 Sub Category:COVID-19 Response and Farming Advisory
 Information About:Lentil,tomato, brinjal ,chillies,palak,chaulai, bathua,mango and litchi
 State:Jharkhand","Agricultural Operation Guidelines
 Amidst COVID-19"," > Guidelines
 > Appraise and consult Agriculture Advisor or Agriculture Coordinator for any emerging problem in farm related activities.
 > Advisory
 > Lentil is at harvesting stage while gram and wheat will take will take another 20-25 days to mature. Harvesting should be at proper maturity. No need to irrigate the field as there was good rain in recent past.
 > Summer ploughing in the vacant field after harvesting of Lentil is essential.
 > In Vegetables like tomato, brinjal, chillies etc. apply hoeing and irrigation as per requirement. Also apply required amount of nitrogen.
 > Leafy vegetables like palak, chaulai, bathua etc. can be sown for summer season.
 > Mealy bug in mango and litchi can be controlled by spraying Imidacloprid 17.8%SL @ 1 ml/ 3 lit water.
 > Mite in litchi can be controlled by using Ethion 50 EC @ 2 ml/ lit water.
 > Powdery mildew in mango can be managed by applying recommended fungicide",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title:Ensuring Safety and Efficiency in Agricultural Operations
 Category:Agricultural Operations and Safety Measures
 Sub Category: COVID-19 Response and Farming Advisory
 Information About:horticultural produce, fruits and vegetables
 State:Karnataka","COVID-19 Guidelines and
 Farming Advisory"," > Advisory
 > Paddy is being harvested in most parts of Hyderabad-Karnataka. Harvesting and threshing through Combine is being facilitated by making available the required number of Combines. Custom Hiring Centres are encouraged to facilitate the availability of required machines. Movement of Combines is permitted across the states.
 > Summer paddy transplanting may be done using machines followed by broadcasting of appropriate weedicides.
 > Alternatively, farmers should go for Paddy Direct Sowing using Drum Seeders to overcome labour problem and to minimize cost of cultivation.
 > Groundnut harvesting in parts of Karnataka is about to start in coming weeks. Farmers may resort to machine harvesting to the extent possible. Please follow all the guidelines of the Govt regarding social distancing, and use of sanitizers i manual harvesting is necessary.
 > Farmers are advised to plan for direct marketing of produce which is ready for harvest. Use cold-storage structures available within the district to avoid distress sale.
 > Wherever possible, use N fertilizers and irrigate to postpone harvesting stages. In Pomegranate, also use NAA in appropriate dose to delay maturity.
 > Grapes can be dried and converted to Raisins (dried-grapes) to avoid fresh marketing. Delay pruning of grapes by one month.
 > Mango crop may be sprayed with Mango Special nutrient mixture to ensure good growth and size of fruits. Set up fruitfly-traps to monitor fruitfly incidence, and wherever required, consult the nearest KVK for necessary advise.
 > Vegetables that are in the harvesting stage must not be sprayed with chemicals before harvest. Please ensure pesticide-residue-free products to markets.
 > Transport of vegetables and food products is not restricted as per Govt Orders. Please contact District Administration for necessary support and permits. Farmers Organizations may help in aggregation of produce and marketing.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title : Ensuring Continuity and Safety in Farming Operations
 Category : COVID-19 Lockdown Exemptions and Agricultural Practices
 Sub category : Agricultural Advisory and Pest Management
 Information About: crops and produces
 State: Kerala","Kerala State Lockdown Guidelines
 and Agricultural Advisory"," > Guideline: Advisory
 >To manage Coconut Rhinoceros beetle, provide field sanitation to prevent breeding of beetles. Apply 250g neem cake or marotti (Hydnocarpus wightina) cake mixed with equal volume of sand in the innermost 2-3 leaf axils during April-May before the onset of south- west monsoon. Treat manure pits and other possible breeding sites with Metarhizium
 > In vegetables, manage sucking pests aphids, mites, white flies, thrips, caterpillars etc.
 > Erect blue/yellow sticky traps just above the leaf level to trap insect pests.
 > Spray 2% neem oil garlic emulsion every week. Care must be taken to cover both sides of the leaves during spraying.
 > Spray Lecanicillium 20g/litre at fortnightly intervals.
 > If infestation is severe, against Aphids, whiteflies, jassids- spray Thiamethoxam 25WG , 2g/ 10litre; and against Mites, spray Spiromesifen 240SC , 0.8-1ml/ litre.
 > Spray Beauveria 20g/litre as a prophylactic measure against caterpillar pests
 > Paddy harvesting using machines, with the support of green army custom hiring centres. Follow all guidelines regarding social distancing and sanitization.
 > In districts where paddy is in tillering stage, apply 2.5 kg Pseudomonas/ha mixed with 50 kg cowdung for one hectare and avoid excess usage of nitrogen fertilizers as a prophylactic measure to control blast and sheath rot diseases.
 > It is the ideal time for planting material preparation in pepper crop. Apply mulch and protect the plants from scorching sun.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR," Sub Title:Ensuring Productivity and Safety Amidst Farming Operations
 Category:Seasonal Farming Practices and Safety Measures
 Sub Category: Agricultural Advisory and Crop Management
 Information About:brinjal, tomato, bhendi and chillies,sponge gourd, water melon and musk melon
 State:Madhya Pradesh","Agricultural Advisory for Optimal
 Seasonal Operations"," > Advisory
 > Harvesting and threshing of wheat, lentil, chickpea and mustard should be done, if not yet not done.
 > Farmers may start the field preparation and sowing of summer mung in irrigated areas after harvest of wheat and chickpea
 > Ensure availability and maintenance of farm machinery needed for field preparation and sowing in kharif season
 > Wear personal protection equipment and mask and maintain social distance in farm operations
 > Sanitize farm implements before use in agricultural operations
 > Adopt suitable time for sowing of cucurbits and summer maize
 > Timely intercultural operation of vegetable crops like brinjal, tomato, bhendi and chillies along with fertilizer and irrigation management as per need.
 > Farmers are advised to decide the transplanting time of vegetables crops like - sponge gourd, water melon and musk melon.
 > Horticulture crops mainly farmers who want to plant fruit gardens, prepare pits and keep them open for treatment, as well as select varieties of fruit trees and arrange for planting.
 > Intercultural operation and urea application are advised in summer vegetables like pumpkin, bitter gourd, bottle gourd,okra etc.",State Advisory for Farmers during COVID 19 lockdown,NA
