source,organization,title,description
Jharkhand - ICAR_NRM_Practices-2709,ICAR,"Zinc in Fertilization: Boosting
 Crop Yield and National
 Food Security","Use of Zn in balanced fertilization improved yield of different crops to a tune of 10-35% depending upon soil types, severity of deficiency, crops etc."
Jharkhand - ICAR_NRM_Practices-2709,ICAR,"Zinc in Fertilization: Boosting
 Crop Yield and National
 Food Security",Application of Zn alone contributes about 25 million tonne of total food grain production. It sustained the productivity over the years.
Jharkhand - ICAR_NRM_Practices-2742,ICAR,"Economic Benefits of
 Intercropping","Intercropping plays an important role in economizing the total cost of cultivation. It achieves this through savings in the cost of preparatory cultivation, irrigation, weed management, and interculturing operations. Additionally, intercropping generates mid-season income and reduces the risk of total crop failure. This makes it a valuable strategy for farmers looking to implement cost-efficient and climate-resilient farming practices."
Jharkhand - ICAR_NRM_Practices-2753,ICAR,"Enhanced Organic
 Farming Practices","The principles of successful adoption and recommendations for different agro-climatic regions have been developed over six years of experimentation. The cropping systems and packages proposed are tailored for specific agro-climatic zones. New organic input packages have been found to increase net returns by over 20% and organic carbon content by 10-15%, compared to conventional chemical farming practices. These environmentally friendly packages, which do not use any chemical inputs for pest and disease management, are highly suitable for the environment and climate resilient agriculture."
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Ensuring Continuity in Agricultural
 Operations: Guidelines and Advisory","The ICAR issued guidelines to facilitate agricultural operations and post-harvest management amid the COVID-19 lockdown. Coffee growers who have harvested beans should dry them to a moisture content of 12-14% and store them in airtight containers to prevent spoilage. For mushrooms that are ready for harvesting but cannot be sold in the village, they should be sundried or placed above a chullah in an appropriate drying basket until their moisture content reduces to 5-8%. Harvested tree beans can be preserved by making pickles or by drying the seeds along with their cover. These measures ensure the continuity of farming activities and aid farmers during the lockdown."
Jharkhand - ICAR_NRM_Practices-2734,ICAR,"Integrated SRI: Boosting Kharif
 Paddy and Fish Yields","The kharif paddy yield increased from 2.89 tonne/ha to 6.16 t/ha with fish yield of 2.6 tonne/ha. The Integrated SRI system has potential to generate net profit of 268,600 ha-1 in the two years. The net water productivity (NWP) in the Integrated SRI system was enhanced from 0.31/ m3 (Conventional rainfed rice) to 18.91/ m3 in economic gain per volume of water. This highlights the significant improvements in both agricultural productivity and profitability, emphasizing the role of innovative and sustainable farming systems in achieving climate resilience."
Jharkhand - ICAR_NRM_Practices-2739,ICAR,Sugarcane-Potato Intercropping,"Sugarcane is a widely spaced crop (0.90 to 1.20 meters apart) that grows slowly at first and has a long duration until harvest, making it a one-time income-generating crop. This characteristic provides ample opportunity for intercropping with potato, a faster-growing crop, to generate mid-season income. Intercropping sugarcane with potato can enhance household nutrition and improve economic security, ensuring a diversified and sustainable agricultural practice. This method, advocated by ICAR, is particularly beneficial in regions like Jharkhand as part of climate-resilient agriculture strategies."
Jharkhand - ICAR_NRM_Practices-2741,ICAR,"Improved Agricultural Practices
 for Higher Returns","The total cost of cultivation under improved agricultural practices was ₹30,050 per hectare, compared to ₹24,400 per hectare using traditional farmers' practices. The total value of the product was ₹1,05,680 per hectare under the demonstration practices and ₹74,720 per hectare under the farmers' practices. This resulted in a net return of ₹75,630 per hectare under the improved practices, compared to only ₹5,320 per hectare under the traditional practices. These results highlight the potential for significantly higher returns through improved agricultural practices, offering a cost-effective solution for enhanced cultivation."
Jharkhand - ICAR_NRM_Practices-2703,ICAR,"Optimizing Fertilizer Use
 through Fertility Maps","The decision support system by ICAR enhances crop yield and efficiency through the use of fertility maps. This system allows for precise fertilizer application based on soil-test values, enabling farmers to make informed decisions about fertilizer use. By understanding the fertility status and yield targets of their fields, farmers can potentially save a significant amount of fertilizer. This precision farming approach can be applied from the field level to the block or village level, depending on the available information. Experiments in various states indicate substantial fertilizer savings when fertilizers are prescribed using soil-test driven data. This practice not only optimizes fertilizer use but also contributes to climate-resilient agriculture by minimizing excessive fertilizer application and its associated environmental impact."
Jharkhand - ICAR_NRM_Practices-2716,ICAR,"Cost-Efficient Bio-Enriched
 Compost Preparation","Preparation of Bio-enriched compost involves modest additional cost of the price of low grade Rock Phosphate and biofertilizer over that of normal compost. Every tonne of Bio-enriched compost requires around 170 kg rock phosphate and 10 kg of Azospirillum/ Azotobacter and Phosphate Solubilizing Bacteria (PSB) biofertilizer. Considering the cost of Rock Phosphate 3/ kg and biofertilizer 75/ kg, additional cost for each tonne of Bio-enriched compost preparation is about ₹2,000/ only."
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Safety Advisory for Agricultural Operations
 During Harvest Season","Simple safety measures and precautions while performing farm operations have been issued to farmers with respect to harvesting, threshing, storage, and marketing of major crops cultivated in Haryana. These measures cover wheat, mustard, gram, and various vegetable crops. Wheat in large areas will be ready for harvest after April 14th through combines. Due to untimely rain during March, wheat harvesting is delayed and will start after April 5th, with peak harvesting occurring between April 15th and 30th. In case wheat harvesting is delayed due to scarcity of combines or other reasons, the mature crop becomes prone to fire, necessitating adequate precautionary measures."
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Safety Advisory for Agricultural Operations
 During Harvest Season","Approximately 70% of barley harvesting is completed mainly in southwest Haryana, with the remaining expected to finish shortly. Mustard, another significant rabi crop, has largely been manually harvested but threshing still needs to be done in most cases. The harvesting of gram and lentil is delayed due to recent rains, with the process expected to approach the first fortnight of April. Among the vegetable crops in the harvesting/picking stage are tomato, cauliflower, cucumber, other cucurbits, green coriander, and spinach. These vegetables are being supplied to the market. Farmers should follow guidelines for safe harvesting, threshing, and marketing during the COVID-19 lockdown to ensure safety and productivity."
Jharkhand - ICAR_NRM_Practices-2744,ICAR,"Sustainable Intercropping
 System","The ICAR has developed a sustainable intercropping system suitable for marginal and small farm holders, focusing on bio-intensive techniques. During the kharif season, a 1:1 ratio of maize for cobs and vegetable cow pea is grown on tractor-made broad beds with Sesbania in the furrows. In the rabi season, the furrows are utilized for mustard, and three rows of lentil are zero-till sown on the broad beds. In summer, three rows of green gram are zero-till sown on the beds, serving both for grain production and residue incorporation. This diversified cropping system promotes soil health and crop yield, contributing to climate-resilient agriculture."
